location_id	geo_rule
138170	abstain
141903	abstain
141795	us_mn_apple_valley
138213	abstain
140576	us_mo_st_louis
141237	us_mn_burnsville
138346	ca_fredericton
140734	us_ia_eddyville
142470	us_nh_durham_unh
113007	us_tx_cleburne
141173	abstain
142556	ca_moncton
112977	kr_humphreys
140936	us_pa_altoona
138176	us_oh_columbus
112888	gu_guam
112838	jp_okinawa_oac
142599	au_sydney_sopac
112873	gu_guam
141811	us_ms_biloxi
141950	abstain
138318	us_ms_camden
112850	gu_guam
112939	gu_guam
142047	abstain
142045	abstain
141187	us_ne_albion_bc
141229	us_pa_newtown
140778	abstain
140571	us_mo_clayton
112926	gu_guam
141062	us_pa_e_strd_south
141228	us_pa_e_stroudsburg_esn
141063	us_pa_stroudsburg
142032	abstain
141197	us_ia_pleasant_hill
141106	us_ia_perry
138047	ca_moncton
142216	au_sydney_sopac
141869	abstain
141483	us_ia_mt_ayr
142455	ca_calgary
142509	abstain
112940	kr_seoul
140583	us_mo_troy
141194	us_ia_wdm_valley
142742	us_ca_beaumont
141159	us_ia_newton
142360	au_brisbane_qsac
141122	us_ia_osceola
141680	jm_kingston
112839	gu_guam
138217	ca_saskatoon
140575	us_mo_pacific
141443	au_sydney_sopac
112890	gu_guam
141444	au_sydney_sopac
112934	jp_okinawa
141448	us_pa_garnet_valley
112992	kr_seoul
112906	jp_okinawa_oac
139744	us_il_minooka
141583	us_ia_urbandale
142494	us_pa_philadelphia_pcl
112885	abstain
140544	abstain
142743	us_ca_los_alamitos
141078	us_pa_lock_haven
141515	abstain
140512	us_mo_washington
141830	us_nc_greensboro_ncat
112927	jp_okinawa_oac
140551	us_il_minooka
141389	us_ia_nevada
140716	us_il_bloomington_normal
141447	us_pa_philly_gfs
141449	us_pa_westtown
112884	abstain
141231	us_pa_wynnewood_fc
112967	de_kaiserslautern
142702	us_il_lombard
141593	abstain
113006	us_ks_syracuse
112937	de_ramstein
141568	us_ne_albion
112913	kr_seoul
141514	us_ia_martensdale
141341	us_pa_ft_washington
141873	abstain
112938	gu_guam
141599	us_ne_fairbury
142732	us_oh_columbus
112935	jp_okinawa
112948	jp_okinawa_oac
112879	jp_okinawa_oac
112880	jp_okinawa_oac
112883	jp_okinawa
142458	us_ny_plattsburgh
113012	abstain
112973	abstain
112981	jp_tokyo_oifuto
112982	jp_tokyo_oifuto
112959	jp_kanto_tokyo
113000	us_or_reedsport
141156	us_ny_new_rochelle
112903	jp_kanto_tokyo
140577	us_mo_eureka
112904	abstain
138150	abstain
142376	abstain
112936	jp_okinawa
112892	be_brussels
141704	us_pa_malvern
112932	kr_seoul
112960	jp_kanto_tokyo
142555	abstain
112919	it_vicenza
113002	abstain
112987	bh_manama
112902	jp_kanto_tokyo
112998	abstain
112841	gu_guam
112947	jp_okinawa_oac
113028	bh_manama
140585	us_mo_st_peters
112950	abstain
112898	abstain
140586	us_mo_grain_valley
112930	abstain
112946	jp_okinawa_oac
112975	abstain
141304	us_ia_collins_maxwell
140588	abstain
140582	us_mo_columbia
140746	abstain
112971	abstain
141891	us_wi_portage
141589	us_pa_e_stroudsburg_ess
141698	abstain
141294	us_pa_royersford
141719	us_wi_cashton
141354	us_il_rockford
141791	abstain
141817	abstain
112854	jp_okinawa_kadena
141468	us_ne_springfield
141747	abstain
140754	abstain
112965	de_ramstein
112921	nl_afnorth_brunssum
113008	gb_lakenheath
112886	de_bfa_kandern
112852	de_hohenfels
112922	de_stuttgart_patch
141590	abstain
113015	de_kaiserslautern
112918	de_hohenfels
112944	de_stuttgart_patch
113009	it_naples
112905	kr_osan
112929	abstain
112928	gb_lakenheath
112889	gu_guam
112952	it_vicenza
112966	gu_guam
112894	jp_okinawa
112907	jp_okinawa_oac
142528	us_nc_falcon
112887	gu_guam
112994	jp_okinawa_oac
140942	us_nc_cameron
113022	abstain
112853	jp_okinawa_oac
112995	jp_okinawa_oac
112882	jp_okinawa_oac
112993	jp_okinawa_oac
112988	abstain
112924	gu_guam
112911	abstain
112909	jp_okinawa_oac
112908	jp_okinawa_oac
112875	abstain
113019	kr_seoul
141252	us_ny_accord
142634	us_il_maywood
112859	jp_okinawa_oac
112843	jp_okinawa_oac
112949	jp_okinawa_oac
113001	abstain
142352	abstain
112891	jp_okinawa_oac
112881	jp_okinawa_oac
112877	kr_seoul
141281	us_ia_sioux_center
141019	us_ia_lamoni
112931	kr_seoul
112923	kr_daegu
112920	abstain
113034	es_rota
112869	abstain
112893	gu_guam
112914	gu_guam
112972	abstain
141943	abstain
142644	abstain
112861	jp_saitama
112976	be_lokeren
112956	gu_guam
112917	abstain
140322	us_ca_menifee
140572	us_mo_wildwood
141450	us_pa_ardmore
142562	us_il_clinton
112868	jp_kanagawa
140957	us_pa_garnet_valley
112955	jp_okinawa_oac
112896	abstain
112943	jp_chiba
141702	abstain
112897	abstain
112925	gu_guam
141851	abstain
142681	abstain
112867	jp_kanto_tokyo
141784	us_pa_wallingford
141215	abstain
112863	jp_kanagawa
112837	abstain
112865	abstain
113026	abstain
112895	jp_kanto_tokyo
112860	abstain
112864	jp_okinawa
112872	jp_kanto_tokyo
113004	us_oh_frankfort
112836	abstain
112899	abstain
142000	abstain
112916	abstain
141912	abstain
112910	abstain
112953	nl_apeldoorn
112901	jp_kanto_tokyo
112870	jp_koshigaya
112840	abstain
112915	fi_pihtipudas
112866	jp_higashimatsuyama
